x,y,color
516.0127058374305,393.01451385201693,0
436.2117622061974,408.6565848615271,0
512.0526012254161,372.02201357478293,0
489.14046445291086,401.807159361874,0
446.2079858903369,338.51668220520173,0
516.4143942778024,354.1946331968146,0
499.38635309102756,414.43229606269244,0
489.3139371365318,408.06659564418663,0
440.109392441973,394.8216765898479,0
444.11917081057294,367.85030508175623,0
430.85313667255093,364.0463180839984,0
462.7448850995777,411.3374508188923,0
525.3908350451038,344.2468508670495,0
489.9870399131361,366.0804550055338,0
513.9066881477629,378.01799726694344,0
485.21289498432367,347.673839725019,0
529.1200550018825,359.84631868236875,0
518.6871304146838,382.7215566260512,0
464.5499943146487,317.7993655113554,0
489.13628726709425,322.4817914341174,0
517.0391004885062,359.4994999223177,0
501.9240839540738,406.5793762715041,0
517.3271821345925,407.19390734391925,0
482.4187002840496,402.33768729635705,0
502.80582423762786,348.77041753702235,0
493.39148493650436,396.1919795350139,0
494.22509256238783,320.36870509240396,0
506.71760772038226,321.3100159254086,0
477.9060080391279,376.6104354134343,0
475.771004097141,385.68884653768663,0
526.3674862236835,385.9015929399979,0
458.4423104375233,412.261105877638,0
541.4330242004786,349.1140023810797,0
478.21675316498545,375.6246256503273,0
460.5624525545353,391.5014153126483,0
530.4595983504676,400.3740378105998,0
522.9458640963958,366.8870077499869,0
482.9750995275161,385.96680653013505,0
494.3666172453304,412.2156095583674,0
539.5281301575852,428.94019595829155,0
488.60950050767445,352.89084234054184,0
463.16180965703126,433.6460556303463,0
515.9308340787504,365.3147131318315,0
510.5066111387522,356.9058435651109,0
468.19455319255445,436.0717678887411,0
482.6366921116205,416.6518975190995,0
491.78742936158426,377.3912060783781,0
479.67922130587755,391.97829055422517,0
507.01105176004125,413.9866409759064,0
416.82026114139194,406.402981190038,0
493.32631351967996,447.4476280589422,0
425.0833565281501,391.5358348606207,0
419.75094943037743,357.60732095153276,0
484.46170119270016,387.17077573094184,0
440.6937746274516,444.2206921137569,0
453.830522583607,372.82754811626313,0
475.2397225219906,389.97828129994843,0
426.0135612814879,399.33937217955724,0
489.3020772749018,368.90342503250724,0
478.5477776647141,372.17896700243966,0
479.817523551656,439.275668632536,0
467.82515549503125,410.97713532111237,0
468.52190927348045,423.1356145837607,0
475.7890888691272,405.97523323843785,0
422.0058413301871,410.99101608910195,0
494.8695769173755,376.3584621615373,0
449.8698888038798,358.945933298645,0
457.4432052785545,381.6507837873928,0
477.43188637930234,422.18446862285066,0
450.9193085667017,399.8004119430752,0
510.80755270802297,348.37708200254747,0
483.18168623591407,427.39813091792604,0
420.6607637305068,428.1641889892514,0
506.81984389708447,425.4232887176487,0
434.52323402332854,344.23906955889134,0
430.3840143562126,333.05792062511136,0
505.04316766511073,356.39280942874194,0
463.7004461126386,421.1900350557969,0
437.57937543893286,330.1355365537735,0
428.19664663586354,383.6569880957447,0
511.13328518809874,340.99572017129753,0
440.2125937495669,328.19652877046383,0
478.8221441081133,354.23415935681254,0
488.4427715343118,381.50687996165044,0
507.3279019594129,371.74248039731754,0
506.694840006331,399.8196376495654,0
424.32298505266067,408.25753547031263,0
509.2539397556102,402.55407138089276,0
493.1196807512771,388.9357321733259,0
505.8126816314027,364.09880121781003,0
474.4914726890311,382.8801592302718,0
497.941882885065,350.3835043024707,0
420.05975576838654,368.2888401954556,0
430.27355371638447,424.91005031728207,0
464.95921547093343,383.7617359861251,0
502.6855027674245,345.0661246971393,0
448.19285855202963,396.93295465847484,0
419.6696076609214,378.3182830076566,0
468.51479859328816,428.3690765829806,0
497.1036200101084,413.680144515699,0
448.2154016942574,395.2008223447426,0
429.46271371221553,406.0475222811771,0
455.0539822559839,394.13767072526343,0
502.83169476597726,359.3735911062815,0
475.4035956724331,374.71180418920176,0
476.9640019263925,384.1563957590036,0
481.53960210558444,363.0793818732333,0
511.6105559961915,365.13956267474896,0
469.4879876415907,353.45734096729365,0
517.0349677879333,426.9829264224723,0
504.7570571547749,400.09382134327313,0
502.27964822955596,396.6139289163111,0
443.6691902572415,395.72053496825004,0
515.4117036221138,378.6268694805024,0
514.3296181135647,335.6531661428575,0
429.8885106462798,409.4434441809215,0
641.5721022469156,230.0060801936443,1
579.9098990775475,252.96214461445993,1
580.2409893857133,221.75164889722578,1
648.7161821674475,229.6286010352158,1
589.4281086190438,273.58952641107385,1
656.6638121906431,298.76043664604407,1
589.0447238789482,308.37399183156015,1
653.8047746029317,297.0234901509882,1
638.60840990082,274.39772113370566,1
620.5486317097244,221.19646535484225,1
640.1912062261024,238.51715077270177,1
573.0899100660821,309.8295932444322,1
621.3628292722673,271.57881558501356,1
645.8934321003101,244.97071901640766,1
638.4510823235671,253.26877736196988,1
631.2693317039867,244.73717185552164,1
637.7132499694877,226.8162629955405,1
630.208246948186,259.0720904906191,1
600.409936450425,255.91355141216943,1
650.3368647373472,259.39195035146366,1
592.9525643231663,287.2680029156913,1
622.3566629224129,297.8411793353522,1
598.7419295357272,226.768896264647,1
634.2479017561159,272.11760538783705,1
572.6733752787122,305.9277601446805,1
572.5530777151813,300.9103724026839,1
580.3480175814001,266.50730097155065,1
617.8740452557256,303.0137581462292,1
666.2247978083575,271.0781300032294,1
639.3766908898209,275.6419319883412,1
635.5402231506945,238.42863780950262,1
661.9020075936722,262.93595976168604,1
641.2718375913907,277.13644161597426,1
608.32477608111,266.7819855781165,1
601.4925278568124,250.33398060709425,1
623.267042465214,255.25264040033085,1
648.3806550199038,296.5021073668162,1
581.8874323437252,227.36498668739216,1
662.2328159829036,280.8786760792074,1
613.9442536968285,252.21673037264156,1
662.6190128209571,229.62203997728716,1
637.2572488311115,219.98942773447135,1
585.0424660094757,286.6328906511907,1
621.6600975648771,275.30241594822,1
613.547382564374,232.03639766201815,1
622.1540599039826,270.55630383002665,1
652.6568082729748,201.32880359556793,1
596.5691525867383,215.18799355116204,1
657.4719965794079,290.0555187842861,1
684.3364910016413,292.9256510330323,1
640.928490328476,294.53901438913846,1
587.7427969720168,262.6232882975704,1
636.1334674228074,269.95390871615894,1
683.3789233024567,283.56947453659654,1
616.3150306634479,272.717119968814,1
584.6106485652542,296.4686486214638,1
617.9532209580877,306.0535175046052,1
584.778647742044,227.76130836893395,1
647.639840139104,249.9599252449553,1
599.4663898552673,223.69197304397306,1
628.3192370094406,290.4913137313335,1
633.4300338351002,298.282963933175,1
588.0816888876844,265.1241568742936,1
610.3984053326233,249.88803898760128,1
665.9979848493622,281.77788022389564,1
604.4026193398624,222.50621865778794,1
666.8047415141845,309.8997427476689,1
643.3977428966928,306.1120041736499,1
611.1920938823467,254.0389946003501,1
599.8560467620382,258.67242804300315,1
576.1134265809009,229.95445745104334,1
606.6385167171427,316.85467016416055,1
